"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-01","0.61","0.0","0.0","50","58","45","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-02","0.00","0.0","0.0","44","46","39",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-03","0.00","0.0","0.0","47","56","41",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-04","0.00","0.0","0.0","49","63","37",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-05","0.00","0.0","0.0","54","63","44","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-06","0.00","0.0","0.0","56","65","49","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-07","0.00","0.0","0.0","58","73","47",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-08","0.00","0.0","0.0","58","74","47","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-09","0.00","0.0","0.0","56","74","44","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-10","0.00","0.0","0.0","59","69","51","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-11","0.86","0.0","0.0","62","66","58","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-12","0.32","0.0","0.0","59","65","46","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-13","0.15","0.0","0.0","49","52","45","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-14","0.00","0.0","0.0","48","53","39",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-15","0.34","0.0","0.0","47","63","34","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-16","0.00","0.0","0.0","53","55","44",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-17","0.00","0.0","0.0","46","50","36",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-18","0.00","0.0","0.0","36","37","28",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-19","0.00","0.0","0.0","36","49","26",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-20","0.00","0.0","0.0","49","60","44",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-21","0.00","0.0","0.0","54","66","44",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-22","0.01","0.0","0.0","50","59","44",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-23","0.75","0.0","0.0","54","59","41","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-24","0.00","0.0","0.0","44","50","39",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-25","0.00","0.0","0.0","47","55","42",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-26","0.47","0.0","0.0","57","66","47","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-27","0.00","0.0","0.0","53","63","44","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-28","0.00","0.0","0.0","51","57","42",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-29","0.00","0.0","0.0","45","52","38",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-11-30","1.14","0.0","0.0","54","63","47","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-01","0.00","0.0","0.0","53","60","38","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-02","0.00","0.0","0.0","41","46","37",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-03","0.00","0.0","0.0","41","49","35",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-04","0.10","0.0","0.0","47","52","44",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-05","1.13","0.0","0.0","44","47","39","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-06","0.00","0.0","0.0","39","42","33",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-07","0.00","0.0","0.0","35","42","30",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-08","0.00","0.0","0.0","33","36","30",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-09","0.01","0.0","0.0","34","38","32","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-10","0.00","0.0","0.0","41","49","36",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-11","0.00","0.0","0.0","42","52","32",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-12","0.00","0.0","0.0","48","55","41","    1","    1",,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-13","0.00","0.0","0.0","52","61","46",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-14","0.28","0.0","0.0","43","45","36",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-15","0.00","0.0","0.0","37","41","30",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-16","0.39","3.8","0.0","30","32","25","    1",,,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-17","0.48","3.4","5.9","30","33","25","    1",,,"    1",,,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-18","0.00","0.0","7.1","27","32","23",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-19","0.00","0.0","7.1","26","32","18",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-20","0.08","0.0","5.9","32","39","28","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-21","0.00","0.0","5.1","37","40","33","    1",,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-22","0.00","0.0","3.1","40","45","36","    1",,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-23","0.00","0.0","2.0","40","43","35",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-24","0.12","0.0","0.0","49","58","40","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-25","0.59","0.0","0.0","53","60","29","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-26","0.00","0.0","0.0","29","33","24",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-27","0.00","0.0","0.0","29","38","24",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-28","0.00","0.0","0.0","41","51","33",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-29","0.00","0.0","0.0","40","43","28",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-30","0.00","0.0","0.0","33","43","24",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-12-31","0.36","0.0","0.0","44","48","35","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-01","0.63","0.0","0.0","36","40","30","    1",,,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-02","0.07","0.0","0.0","42","53","36","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-03","0.12","0.0","0.0","37","39","33","    1",,,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-04","0.01","0.0","0.0","38","45","35",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-05","0.00","0.0","0.0","39","43","36",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-06","0.00","0.0","0.0","38","43","33",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-07","0.00","0.0","0.0","36","43","31",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-08","0.00","0.0","0.0","33","38","27",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-09","0.00","0.0","0.0","32","38","26",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-10","0.00","0.0","0.0","35","43","29",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-11","0.00","0.0","0.0","32","38","26",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-12","0.00","0.0","0.0","35","45","28",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-13","0.00","0.0","0.0","37","44","28",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-14","0.00","0.0","0.0","39","50","32","    1",,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-15","0.36","0.0","0.0","40","48","31","    1","    1",,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-16","0.88","0.0","0.0","45","50","38","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-17","0.00","0.0","0.0","40","45","35",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-18","0.00","0.0","0.0","42","48","34",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-19","0.00","0.0","0.0","38","43","32",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-20","0.02","0.2","0.0","36","44","26","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-21","0.00","0.0","0.0","31","42","21",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-22","0.00","0.0","0.0","39","48","33",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-23","0.00","0.0","0.0","33","36","24",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-24","0.00","0.0","0.0","27","33","22",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-25","0.00","0.0","0.0","30","38","22",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-26","0.13","0.0","0.0","33","36","31","    1",,,,,"    1","    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-27","0.00","0.0","0.0","36","39","31","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-28","0.00","0.0","0.0","32","35","20",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-29","0.00","0.0","0.0","22","27","16",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-30","0.00","0.0","0.0","22","33","15",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-31","0.06","0.7","0.0","24","27","20","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-01","1.32","11.9","3.9","28","33","26","    1","    1",,"    1",,,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-02","0.03","0.0","13.0","33","35","31","    1",,,"    1",,"    1",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-03","0.00","0.0","11.0","32","37","29",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-04","0.00","0.0","9.1","35","42","29",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-05","0.02","0.0","7.9","37","44","30",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-06","0.00","0.0","5.9","37","43","26",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-07","0.46","6.9","5.1","34","37","26","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-08","0.00","0.0","11.8","24","28","17",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-09","0.01","0.0","9.8","28","35","21","    1",,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-10","0.00","0.0","9.1","29","34","24",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-11","0.18","2.2","11.0","29","31","26","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-12","0.00","0.0","9.8","26","29","19",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-13","0.01","0.0","9.1","28","30","25",,,,"    1",,"    1",,
