name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
new york city,2021-02-01T00:00:00,-3.9,-10.8,-5.7,87.33,0.045,100,snow,0.54,8.7,44.2,23.9,31,1019,100,1,,,,,"Snow, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
new york city,2021-02-01T01:00:00,-2.9,-10.1,-4,92.16,0.094,100,snow,0.54,9.24,38.9,28.9,31,1018.4,100,1,,,,,"Snow, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
new york city,2021-02-01T02:00:00,-2.3,-10.1,-3.5,91.54,0.098,100,snow,0.54,9.78,51.1,36.3,31,1017.3,100,1.9,,,,,"Snow, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
new york city,2021-02-01T03:00:00,-1.7,-9.8,-3.4,88.44,0.028,100,"rain,snow",0.54,10.33,56.5,42,31,1016.3,100,2,,,,,"Snow, Rain, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,72503014732"
new york city,2021-02-01T04:00:00,-1.7,-9,-2.9,91.58,0.036,100,"rain,snow",0.54,10.87,58,33,41,1015.2,100,3.9,,,,,"Snow, Rain, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
new york city,2021-02-01T05:00:00,-1.7,-9,-2.9,91.38,0.033,100,"rain,snow",0.54,11.41,57.3,33.7,32,1014.6,100,2.9,,,,,"Snow, Rain, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
new york city,2021-02-01T06:00:00,-1.7,-9.3,-2.9,91.38,0.073,100,"rain,snow",0.54,11.96,62,36.6,40,1014.2,100,3.8,,,,,"Snow, Rain, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
new york city,2021-02-01T07:00:00,-1.2,-8.9,-2.9,88.29,0.045,100,"rain,snow",0.54,12.5,58.6,38.5,41,1013.9,100,4.8,2,0,0,,"Snow, Rain, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,72503014732"
new york city,2021-02-01T08:00:00,-1.7,-8.4,-2.9,91.45,0.068,100,"rain,snow",0.54,13.04,58.8,27.8,31,1013.6,100,1,8,0,0,,"Snow, Rain, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
new york city,2021-02-01T09:00:00,-1.7,-8.6,-2.9,91.6,0.081,100,"rain,snow",0.47,13.51,55.2,29.4,41,1013.1,100,1,20,0.1,0,,"Snow, Rain, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
new york city,2021-02-01T10:00:00,-1.2,-8.5,-2.2,92.79,0.089,100,"rain,snow",0.47,13.98,62.5,35,41,1011.6,100,1,40,0.1,0,,"Snow, Rain, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
new york city,2021-02-01T11:00:00,-1.2,-8.3,-2.8,88.67,0.123,100,"rain,snow",0.47,14.44,67.4,33.2,31,1010.8,100,0,38,0.1,0,,"Snow, Rain, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
new york city,2021-02-01T12:00:00,-1.2,-8.3,-2.2,92.79,0.226,100,"rain,snow",0.47,14.91,58.7,33.1,31,1009.5,100,0,39,0.1,0,,"Snow, Rain, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
new york city,2021-02-01T13:00:00,-0.7,-7.3,-1.7,92.94,0.228,100,"rain,snow",0.47,15.38,52.9,29.6,31,1007.5,100,0,38,0.1,0,,"Snow, Rain, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
new york city,2021-02-01T14:00:00,-0.7,-6.4,-1.7,92.88,0.271,100,"rain,snow",0.47,15.84,52.8,22.4,21,1006.1,100,1,55,0.2,1,,"Snow, Rain, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
new york city,2021-02-01T15:00:00,0,-6.7,-1.2,91.87,0.141,100,"rain,snow",0.47,16.31,59.1,31.5,30,1005.1,100,1,64,0.2,1,,"Snow, Rain, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
new york city,2021-02-01T16:00:00,0.6,-6.7,-1.2,87.98,0.142,100,"rain,snow",0.47,16.78,68.1,41.6,40,1004.7,100,1,32,0.1,0,,"Snow, Rain, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
new york city,2021-02-01T17:00:00,0.6,-5.4,-0.7,90.79,0.315,100,"rain,snow",0.47,17.24,58.7,28.1,21,1004.1,100,2,9,0,0,,"Snow, Rain, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
new york city,2021-02-01T18:00:00,0.6,-5.6,-0.7,90.99,0.13,100,"rain,snow",0.47,17.71,58.2,29.7,31,1003.7,100,2.9,1,0,0,,"Snow, Rain, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,72503014732"
new york city,2021-02-01T19:00:00,1.1,-4.3,-0.6,88,0.627,100,"rain,snow",0.47,18.18,47.3,24.1,30,1004,100,2.9,,,,,"Snow, Rain, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
new york city,2021-02-01T20:00:00,1.1,-5.4,-0.6,88,0.593,100,"rain,snow",0.47,18.64,49.8,34.7,30,1003.4,100,4.9,,,,,"Snow, Rain, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
new york city,2021-02-01T21:00:00,1.1,-3.9,0,92.02,0.526,100,"rain,snow",0.47,19.11,49,20.9,30,1002.7,100,4.9,,,,,"Snow, Rain, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
new york city,2021-02-01T22:00:00,1.1,-4.2,-0.6,88,0.753,100,"rain,snow",0.47,19.58,46,23,11,1001.7,100,3,,,,,"Snow, Rain, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
new york city,2021-02-01T23:00:00,1.1,-3.6,-0.6,88,0.531,100,"rain,snow",0.47,20.04,37.3,18.5,30,1001,100,5.8,,,,,"Snow, Rain, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
new york city,2021-02-02T00:00:00,1.1,-4.1,-0.6,88,0.258,100,"rain,snow",0.47,20.51,45.5,22.4,29,1000.1,100,7.6,,,,,"Snow, Rain, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
new york city,2021-02-02T01:00:00,1.1,-2.8,-0.7,87.97,0.045,100,"rain,snow",0.47,20.98,39.7,13.6,11,999.4,100,9.6,,,,,"Snow, Rain, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
new york city,2021-02-02T02:00:00,1.1,-2.7,-0.7,87.86,0.028,100,"rain,snow",0.47,21.44,33.8,13.2,11,999.4,100,9.6,,,,,"Snow, Rain, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
new york city,2021-02-02T03:00:00,0,-3.6,-1.2,91.6,0.021,100,"rain,snow",0.47,21.91,,11.5,355,999.2,100,6,,,,,"Snow, Rain, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
new york city,2021-02-02T04:00:00,0,-2.2,-1.2,91.92,0.022,100,"rain,snow",0.47,22.38,31.7,6.2,357,998.6,100,5,,,,,"Snow, Rain, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
new york city,2021-02-02T05:00:00,0,-2.8,-1.2,91.67,0.246,100,"rain,snow",0.47,22.84,,8,355,998.3,100,6.1,,,,,"Snow, Rain, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
new york city,2021-02-02T06:00:00,-0.7,-4,-1.7,92.61,0.014,100,"rain,snow",0.47,23.31,,9.7,340,998,100,10.8,,,,,"Snow, Rain, Overcast",snow,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
new york city,2021-02-02T07:00:00,-0.7,-4,-1.8,92.46,0,0,,0.47,23.78,40.7,9.7,340,998,100,15.6,2,0,0,,Overcast,snow,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,72503014732"
