BOROBOX,BOX_TYPE,LOCATION,ZIP,BOROUGH,COMMUNITYDISTICT,CITYCOUNCIL,LATITUDE,LONGITUDE,Location Point,total_diff
B2653,ERS,3 AVE & 65 ST,11220.0,Brooklyn,BK07,38.0,40.63932033,-74.02354939,POINT (-74.02354939 40.63932033),9574.425605892555
Q7917,BARS,WOODSIDE AVE & 69 ST,11377.0,Queens,QN02,26.0,40.7426855,-73.89565167,POINT (-73.89565167 40.7426855),6176.5307718597915
B0801,ERS,MYRTLE AVE & PALMETTO ST,11237.0,Brooklyn,QN05,34.0,40.69953211,-73.9110349,POINT (-73.9110349 40.69953211),5417.221727417841
B1046,ERS,NEW YORK AVE & LEFFERTS AVE,11225.0,Brooklyn,BK09,40.0,40.66253364,-73.94791393,POINT (-73.94791393 40.66253364),5935.336281866605
B0109,ERS,RIVER & NORTH 3 STS,11211.0,Brooklyn,BK01,33.0,40.71837562,-73.96462115,POINT (-73.96462115 40.71837562),5779.873280430891
R2465,BARS,VINCENT AVE & COVERLY ST,10306.0,Staten Island,SI03,50.0,40.57084247,-74.12510919,POINT (-74.12510919 40.57084247),17545.28298559132
Q3506,ERS,59 AVE & 136 ST,11355.0,Queens,QN07,20.0,40.74424412,-73.82953367,POINT (-73.82953367 40.74424412),8435.548405708725
Q4382,ERS,WYCKOFF AVE & CENTRE ST,11385.0,Brooklyn,QN05,37.0,40.69635031,-73.90540128,POINT (-73.90540128 40.69635031),5548.883926305322
Q6353,BARS,MANOR RD & CENTER DR,11363.0,Queens,QN11,19.0,40.77632656,-73.75132309,POINT (-73.75132309 40.77632656),12612.688066710118
Q4207,ERS,METROPOLITAN AVE & PLEASANTVIEW ST,11379.0,Queens,QN05,30.0,40.71245415,-73.88205387,POINT (-73.88205387 40.71245415),6194.941672405686
R0639,ERS,NARROWS RD N 1000' W OF FINGERBOARD RD,10305.0,Staten Island,SI01,49.0,40.60586273,-74.07242765,POINT (-74.07242765 40.60586273),13333.954341659104
X2557,ERS,E 167 ST & STEBBINS ST/POLITE AVE,10459.0,Bronx,BX02,17.0,40.82627431,-73.89840604,POINT (-73.89840604 40.82627431),8474.774948328844
X4762,ERS,W/S PARK AVE & E 186 ST,10458.0,Bronx,BX06,15.0,40.85790201,-73.89341592,POINT (-73.89341592 40.85790201),10083.672040146344
B2691,ERS,12 AVE & 59 ST,11219.0,Brooklyn,BK12,44.0,40.63075638,-74.00014289,POINT (-74.00014289 40.63075638),8825.881340968897
Q7296,BARS,50 AVE & 47 ST,11377.0,Queens,QN02,26.0,40.73735689,-73.91890954,POINT (-73.91890954 40.73735689),5615.712627672257
M0107,ERS,WEST ST BTW MURRAY ST & WARREN ST,10007.0,Manhattan,MN01,1.0,40.71579721,-74.01291703,POINT (-74.01291703 40.71579721),7666.353921145086
Q7838,BARS,ROOSEVELT AVE & 88 ST,11372.0,Queens,QN04,21.0,40.74822266,-73.87834313,POINT (-73.87834313 40.74822266),6754.60982197375
Q3804,BARS,50 AVE & 210 ST,11364.0,Queens,QN11,23.0,40.75281186,-73.77003288,POINT (-73.77003288 40.75281186),11151.556445028451
B1571,ERS,NOSTRAND AVE & LINDEN BLVD,11226.0,Brooklyn,BK17,40.0,40.65264232,-73.94976875,POINT (-73.94976875 40.65264232),6301.184403893132
B1936,ERS,STANLEY AVE & BERRIMAN ST,11208.0,Brooklyn,BK05,42.0,40.66329419,-73.87475187,POINT (-73.87475187 40.66329419),6990.74578145292
Q4014,ERS,CYPRESS AVE OPP 78 AVE,11385.0,Queens,QN05,30.0,40.69515789,-73.89861514,POINT (-73.89861514 40.69515789),5720.328443686421
Q4235,ERS,JUNIPER VALLEY RD & 75 ST,11379.0,Queens,QN05,30.0,40.71548225,-73.87929945,POINT (-73.87929945 40.71548225),6301.798389593664
B1240,ERS,4 AVE & ST MARKS PL,11217.0,Brooklyn,BK06,33.0,40.68185263,-73.9800351,POINT (-73.9800351 40.68185263),6347.194215803209
R0712,BARS,JEWETT AVE & EGBERT AVE,10302.0,Staten Island,SI01,49.0,40.62454541,-74.13191628,POINT (-74.13191628 40.62454541),15423.721014626566
B3934,ERS,HERKIMER ST & JARDINE PL,11233.0,Brooklyn,BK16,37.0,40.6772081,-73.90513693,POINT (-73.90513693 40.6772081),5798.600975584704
Q6253,ERS,5 AVE & 149 ST,11357.0,Queens,QN07,19.0,40.79564319,-73.81900063,POINT (-73.81900063 40.79564319),10095.735636003328
R0741,ERS,FOREST AVE & LIVERMORE AVE,10302.0,Staten Island,SI01,49.0,40.6242952,-74.13722714,POINT (-74.13722714 40.6242952),15695.85396394111
Q9445,ERS,UNION TPK & 141 ST,11367.0,Queens,QN08,24.0,40.7172806,-73.81932997,POINT (-73.81932997 40.7172806),8497.058115972495
B3661,ERS,GOTHAM AVE & SHELL BANK CREEK,11229.0,Brooklyn,BK15,46.0,40.58904772,-73.92842812,POINT (-73.92842812 40.58904772),8866.153060893626
Q4742,BARS,24 AVE & 201 ST,11357.0,Queens,QN07,19.0,40.77589957,-73.79089093,POINT (-73.79089093 40.77589957),10746.93776059825
M1221,ERS,1 AVE & E 94 ST,10128.0,Manhattan,MN08,5.0,40.78194718,-73.94566982,POINT (-73.94566982 40.78194718),6558.494518030485
R2798,BARS,RICHMOND AVE & ROCKLAND AVE,10314.0,Staten Island,SI02,51.0,40.59529877,-74.16189941,POINT (-74.16189941 40.59529877),18184.93247481508
M1504,ERS,5 AVE & E 128 ST,10027.0,Manhattan,MN10,9.0,40.80833427,-73.94086063,POINT (-73.94086063 40.80833427),7255.887206878776
B1843,ERS,GLENMORE AVE & PINE ST,11208.0,Brooklyn,BK05,42.0,40.67680551,-73.87130777,POINT (-73.87130777 40.67680551),6753.99664829593
Q7934,BARS,45 AVE & 81 ST,11373.0,Queens,QN04,25.0,40.74150481,-73.88387597,POINT (-73.88387597 40.74150481),6478.825031960156
B1759,ERS,SUNNYSIDE AVE & BARBEY ST,11207.0,Brooklyn,BK05,37.0,40.68248486,-73.89028339,POINT (-73.89028339 40.68248486),6075.568102232629
M1521,ERS,5 AVE & E 130 ST,10027.0,Manhattan,MN10,9.0,40.80958142,-73.93994876,POINT (-73.93994876 40.80958142),7290.848331930886
B3283,ERS,VOORHIES AVE & E 26 ST,11235.0,Brooklyn,BK15,48.0,40.58689038,-73.94318574,POINT (-73.94318574 40.58689038),8990.48261949901
Q9149,ERS,68 RD & 108 ST,11375.0,Queens,QN06,29.0,40.72629449,-73.84618699,POINT (-73.84618699 40.72629449),7556.227776868616
Q9779,BARS,67 AVE & 214 ST,11364.0,Queens,QN11,23.0,40.74341137,-73.76158679,POINT (-73.76158679 40.74341137),11387.411438140276
B0972,ERS,ATLANTIC AVE & CLASSON AVE,11238.0,Brooklyn,BK02,35.0,40.67983113,-73.95829217,POINT (-73.95829217 40.67983113),5714.894670218397
Q6350,BARS,MANOR RD & DOUGLAS RD,11363.0,Queens,QN11,19.0,40.77719081,-73.74605457,POINT (-73.74605457 40.77719081),12892.97876053259
Q8999,BARS,VAN WYCK XWAY W SVC RD & 105 AVE,11419.0,Queens,QN10,28.0,40.69057272,-73.81037271,POINT (-73.81037271 40.69057272),8835.885895771544
Q0034,BARS,LGA - PARKING GARAGE E/END ARRIVAL BLD,11371.0,Queens,LGA,21.0,40.77278489,-73.87158358,POINT (-73.87158358 40.77278489),7530.511721397683
Q6922,BARS,CROCHERON AVE & 170 ST,11358.0,Queens,QN07,19.0,40.7627955,-73.79610662,POINT (-73.79610662 40.7627955),10180.396891328735
M1778,ERS,ST NICHOLAS AVE OPP W 193 ST,10040.0,Manhattan,MN12,10.0,40.85680813,-73.92826618,POINT (-73.92826618 40.85680813),9406.730134259036
