BOROBOX,BOX_TYPE,LOCATION,ZIP,BOROUGH,COMMUNITYDISTICT,CITYCOUNCIL,LATITUDE,LONGITUDE,Location Point,total_diff
B2653,ERS,3 AVE & 65 ST,11220.0,Brooklyn,BK07,38.0,40.63932033,-74.02354939,POINT (-74.02354939 40.63932033),45131.78404023698
Q7917,BARS,WOODSIDE AVE & 69 ST,11377.0,Queens,QN02,26.0,40.7426855,-73.89565167,POINT (-73.89565167 40.7426855),29239.799982991284
B0801,ERS,MYRTLE AVE & PALMETTO ST,11237.0,Brooklyn,QN05,34.0,40.69953211,-73.9110349,POINT (-73.9110349 40.69953211),26567.170565901648
B1046,ERS,NEW YORK AVE & LEFFERTS AVE,11225.0,Brooklyn,BK09,40.0,40.66253364,-73.94791393,POINT (-73.94791393 40.66253364),30046.70120295802
B0109,ERS,RIVER & NORTH 3 STS,11211.0,Brooklyn,BK01,33.0,40.71837562,-73.96462115,POINT (-73.96462115 40.71837562),29383.554653761916
R2465,BARS,VINCENT AVE & COVERLY ST,10306.0,Staten Island,SI03,50.0,40.57084247,-74.12510919,POINT (-74.12510919 40.57084247),79940.03914869952
Q3506,ERS,59 AVE & 136 ST,11355.0,Queens,QN07,20.0,40.74424412,-73.82953367,POINT (-73.82953367 40.74424412),37445.94324807652
Q4382,ERS,WYCKOFF AVE & CENTRE ST,11385.0,Brooklyn,QN05,37.0,40.69635031,-73.90540128,POINT (-73.90540128 40.69635031),26873.5967229357
Q6353,BARS,MANOR RD & CENTER DR,11363.0,Queens,QN11,19.0,40.77632656,-73.75132309,POINT (-73.75132309 40.77632656),55597.37879458833
Q4207,ERS,METROPOLITAN AVE & PLEASANTVIEW ST,11379.0,Queens,QN05,30.0,40.71245415,-73.88205387,POINT (-73.88205387 40.71245415),28640.46245023115
R0639,ERS,NARROWS RD N 1000' W OF FINGERBOARD RD,10305.0,Staten Island,SI01,49.0,40.60586273,-74.07242765,POINT (-74.07242765 40.60586273),61311.82393142844
X2557,ERS,E 167 ST & STEBBINS ST/POLITE AVE,10459.0,Bronx,BX02,17.0,40.82627431,-73.89840604,POINT (-73.89840604 40.82627431),40558.20152328804
